,,,,,,,,,,
Theme,Category,Function,Feature,Subscription Tier,Free Tier,TeamDesigner Tier,TeamOperator Tier,Enterprise Tier,Pricing page?,Docs
Catalog Management,Designs,Standard Import IaC ,"Import a design from Kubernetes Manifest, Helm Chart, or Docker Compose",Free,,x,,x,x,
Catalog Management,Designs,Import Design ,Import a design from GitHub,Enterprise,,,,x,,https://docs.layer5.io/cloud/getting-started/github-integration/#connect-github-and-import-designs
Catalog Management,Designs,Import Design ,Import a design from GitLab,Enterprise,,,,x,,
Catalog Management,Designs,Import Design ,Import a design from BitBucket,Enterprise,,,,x,,
Catalog Management,Designs,Premium Import IaC,Bulk import designs from GitHub,Enterprise,,,,x,x,
Catalog Management,Designs,Export Design ,To your local filesystem,Free,x,x,x,x,,
Catalog Management,Designs,Export Design ,"Export a design in source type format (Kubernetes Manifest, Helm Chart, Docker Compose)",Free,,,,,,
Catalog Management,Designs,Export Design ,Export a latest version of design in Meshery Design (YAML format),Free,x,x,x,x,,https://docs.layer5.io/kanvas/designer/export-designs/#exporting-as-a-design-file
Catalog Management,Designs,Export Design ,Export a latest version of design in Meshery Design (OCI format),TeamDesigner,,x,,x,,https://docs.layer5.io/kanvas/designer/export-designs/#exporting-as-an-oci-image
Catalog Management,Designs,Standard Design Export ,"Export a latest version of design in Meshery Design (OCI format, YAML format) Export a design in source type format (Kubernetes Manifest, Helm Chart, Docker Compose)",TeamDesigner,,x,,x,x,
Catalog Management,Designs,Export Design ,Export a design at a specific version ,TeamDesigner,,x,,x,,
Catalog Management,Designs,Export Design ,Export a design to GitHub,Enterprise,,,,,,
Catalog Management,Designs,Export Design ,Export a design to GitLab,Enterprise,,,,,,
Catalog Management,Designs,Export Design ,Export a design to BitBucket,Enterprise,,,,,,
Catalog Management,Designs,Premium Design Export,Export a design as a snapshot,Enterprise,,,,x,x,
Catalog Management,Designs,Cloud Native Design Patterns,Import and export your designs using your local filesystem or remote URL.,Free,,,,,x,
Catalog Management,Designs,Publish Design,Publish a design,TeamDesigner,,x,,,,https://docs.meshery.io/extensions/publishing-a-design
Catalog Management,Designs,Unpublish Design,Unpublish a design,TeamDesigner,,x,,,,
Catalog Management,Designs,Validate Design,Validate a design,TeamDesigner,,x,,,,https://docs.layer5.io/kanvas/tasks/designs/validating-designs/
Catalog Management,Designs,Deploy Design,Deploy a design,TeamOperator,,x,,,,https://docs.layer5.io/kanvas/tasks/designs/deploying-designs/
Catalog Management,Designs,Undeploy Design,Retract all resources used in a Meshery design from the cluster,Free,,,x,,,https://docs.layer5.io/kanvas/tasks/designs/undeploying-designs/
Catalog Management,Designs,Details of design,Set design information or details of a design,Free,,,x,,,
Catalog Management,Designs,Edit design,Edit a design,Free,,,,,,
Catalog Management,Designs,Delete a design,Delete a design,Free,,,,,,
Catalog Management,Designs,Download a design,Download a Meshery design in OCI or YAML format,Free,,,,,,
Catalog Management,Filters,Import Filter,Import a filter,Free,,,,,,https://docs.meshery.io/guides/configuration-management/filter-management
Catalog Management,Filters,Publish WASM Filter,Publish WASM Filter,Free,,,,,,https://docs.meshery.io/guides/configuration-management/filter-management
Catalog Management,Filters,Unpublish WASM Filter,Unpublish WASM Filter,Free,,,,,,https://docs.meshery.io/guides/configuration-management/filter-management
Catalog Management,Filters,Download a WASM filter,Download a WASM filter,Free,,,,,,https://docs.meshery.io/guides/configuration-management/filter-management
Catalog Management,Filters,Details of WASM Filter,Check information or details of a WASM filter,Free,,,,,,https://docs.meshery.io/guides/configuration-management/filter-management
Catalog Management,Filters,Edit WASM filter,Edit WASM filter,Free,,,,,,https://docs.meshery.io/guides/configuration-management/filter-management
Catalog Management,Filters,Clone WASM Filter,"Clone WASM filter from catalog, which allows customizing filter and use it in design",Free,,,,,,https://docs.meshery.io/guides/configuration-management/filter-management
Catalog Management,Filters,Delete WASM Filter,Delete WASM filter permanently from catalog.,Free,,,,,,https://docs.meshery.io/guides/configuration-management/filter-management
Catalog Management,Filters,WASM Filter and filter,"Import, Unpublish, Publish, Download, Edit, Clone, Delete, Details of WASM Filter",Free,,,,,x,
Collaboration,Collaborators for public designs,"Invite any Meshery Cloud user, or all Meshery users","Invite any Meshery Cloud user, or all Meshery users, to work with you on a public design that control – including making changes and releasing new versions.",Team,,,,,,
Collaboration,Collaborators for private designs,Invite any Meshery Cloud user to on a private design,Invite any Meshery Cloud user to work with you on a private design that control – including making changes and releasing new versions.,Enterprise,,,,,,
Collaboration,Team Chat,Message in real-time,"Message in real-time, unattached to a specific design. Control who can pariticpate in the discussion.",Enterprise,,,,,x,
Collaboration,Design Reviews,Discuss any design by leaving review comments,"Discuss any design by leaving review comments or notes on a specific design. Control who has access, notify discussion participants with updates, and link from anywhere.",Team,,,,,x,https://docs.layer5.io/kanvas/designer/comments/
Collaboration,Organization and Team Management,Manage access to designs,"Manage access to designs on a team-by-team, or individual user, basis.",TeamDesigner,,x,,x,x,
,,Manage access to views,Create and collaborate in online operational topologies in real-time.,TeamOperator,,,x,x,x,
Collaboration,Collaborative Design,Create and collaborate in online designs in real-time.,Create and collaborate in online designs in real-time.,Team,,,,,,
Collaboration,Add-ons,,,Team,,,,,,
Content Catalog,Deployment Patterns,,,,,,,,,
Content Catalog,Best Practices,"Istio: Virtual Service, Destination Rules, ...",,Team,,,,,,
Content Catalog,Best Practices,Consul,,Team,,,,,,
Content Catalog,Best Practices,Kuma,,Team,,,,,,
Event Management,Statistics,View Statitistics,,,,,,,,
Events Management,Events,View Events,,,,,,,,
Events Management,Summary,View Summary,,,,,,,,
Events Management,Audit,View Audit,,,,,,,,
Extensibility,Framework,Dynamic Injection via Remote Provider,,Free,,,,,,
Extensibility,ReST API,Namespaced custom endpoints,,Free,,,,,,
Extensibility,ReST API,Swagger integration,,Free,,,,,,
Extensibility,GraphQL API,Namespaced custom resolvers,,Free,,,,,,
Extensibility,Extension Point,Adapters,Extend Meshery's capabilities behind a gRPC interface for Model registration and operation invocation,Free,,,,,,
Extensibility,Extension Point,Load Generators,,Free,,,,,,
Extensibility,Extension Point,Authentication,,Free,,,,,,
Extensibility,Extension Point,Authorization,,Free,,,,,,
Extensibility,Extension Point,Remote Providers,,Free,,,,,,
Extensibility,Extension Point,Meshery UI: Collaborators,Real-time user presence and user profile integration,Free,,,,,,
Extensibility,Extension Point,Meshery UI: Extensible Authorization,Extensible Permission and Entitlement session-based key verification and enforcement,Free,,,,,,
Extensibility,Extension Point,User Preferences,,Free,,,,,,
Extensibility,Extension Point,Peer-to-Peer ,Propagate document updates peer-to-peer using WebRTC.,Free,,,,,,
Extensibility,Extensions,Install extension,Install or enable or disabble extensions in Meshery,Free,,,,,,
Extensibility,Extensions,View Meshery User Preferences,View all user preferences in Meshery UI ,Free,,,,,,
Extensibility,Extensions,View Extensions,View all extensions on the extension page,Free,,,,,,
Financial Management,Accounting,Showback,,,,,,,,
Financial Management,Billing,Chargeback,"Per service, per authenticated user",,,,,,,
GitOps,Review,Snapshots,Visual insights in your pull requests in GitLab,Team,,,,,,
GitOps,Review,Snapshots,Visual insights in your pull requests in GitHub.com (App),Enterprise,,,,,,
GitOps,Review,Snapshots,Visual insights in your pull requests in GitHub.com (PAT),Enterprise,,,,,,
GitOps,Review,Snapshots,Visual insights in your pull requests in GitHub Enterprise (App),Enterprise,,,,,,
GitOps,Review,Snapshots,Visual insights in your pull requests in Bitbucket,Enterprise,,,,,,
GitOps,Review,Snapshots,Visual insights in your pull requests in ArtifactHub,Enterprise,,,,,,
GitOps,Review,Snapshots,Support for Diffs on Pull Requests,Enterprise,,,,,,
GitOps,Pipeline,BitBucket,Initiate deployment with creation of pull request,Enterprise,,,,,,
GitOps,Pipeline,GitHub,Initiate deployment with creation of pull request,Enterprise,,,,,,
GitOps,Pipeline,GitLab,Initiate deployment with creation of pull request,Enterprise,,,,,,
GitOps,Pipeline,ArgoEvents,Initiate deployment with creation of pull request,Enterprise,,,,,,
GitOps,Pipeline,Flux,Initiate deployment with creation of pull request,Enterprise,,,,,,
GitOps,Pipeline,Webhook,Signal pass or fail: to proceed or rollback a deployment,Free,,,,,,
GitOps,Pipeline,Assess and Characterize Service Performance,Signal pass or fail: to proceed or rollback a deployment,Free,,,,,,
GitOps,SMI Conformance,Verify conformance; return results and green/red light,,Free,,,,,,
Identity & Access Management,Single User,Implicit user; implicit role (admin),,Free,,,,,,
Identity & Access Management,,,,Free,,,,,,
Identity & Access Management,Multiple Users,Multi-tenancy,,Free,,,,,,
Identity & Access Management,Individual User Preferences,Allows preferences to be set per user.,,Team,,,,,,
Identity & Access Management,Built-in Roles,Built-in Roles,Static - out of the box,Free,x,x,x,x,x,
Identity & Access Management,User-defined Roles,User-defined Roles,Customizable roles for specific permission assignments,Enterprise,x,x,x,x,x,
Identity & Access Management,Multiple Organizations,Enforcement of tenancy,,Enterprise,,,,,,
Identity & Access Management,Multiple Organizations,Hierarchical permissioning,,Free,,,,,,
Identity & Access Management,Authentication,Authentication: OAuth,,Free,x,x,x,x,,
Identity & Access Management,Authentication: LDAP,Authentication: LDAP,Access Meshery Server using your existing accounts and centrally manage repository access.,Enterprise,,,,x,x,
Identity & Access Management,Authentication: SAML,Authentication: SAML,Use an identity provider to manage the identities of GitHub users and applications.,Enterprise,,,,x,x,
Identity & Access Management,Authentication,Azure Active Directory,,Enterprise,,,,,,
Identity & Access Management,Authorization,Creation of permissions,,Enterprise,,,,,,
Identity & Access Management,Authorization,Permissions: Keychains and Keys,,Enterprise,,,,,,
Identity & Access Management,Authorization,Meshery as an IDP,Own and control the user accounts of your enterprise members through your identity provider (IdP).,Enterprise,,,,,,
Identity & Access Management,Users,View User Public Profile,"See public user profile details, public activities and public resources. ",Free,,,,,,
Identity & Access Management,Users,View User Settings,"See private user profile details, private activities and private resources. ",Free,,,,,,
Identity & Access Management,Users,View All Users,See all teams within an organization. See all members of all teams.,,,,,,,
Identity & Access Management,Users,Update User Profile,Directly create a new user account within a team.,Free,,,,,,
Identity & Access Management,Users,Invite User to Team,Send a request for a user to join a team.,Team,,,,,,
Identity & Access Management,Users,Remove User from Team,Discontinue user membership of a team and team resources.,Team,,,,,,
Identity & Access Management,Users,Create Team,Establish new team for organizing groups of users and resource access.,,,,,,,
Identity & Access Management,Users,Delete Team,Dissolve a team and all user memberships. Leave associated resources intact.,,,,,,,
Identity & Access Management,Users,Delete User,Delete a user account,Team,,,,,,https://docs.layer5.io/cloud/identity/users/user-management/#add-user-remove-user
Identity & Access Management,Users,Edit User,"Edit user role, name, email etc",Team,,,,,,
Identity & Access Management,Users,Create User,Create a new user,,,,,,,https://docs.layer5.io/cloud/identity/users/user-management/#create-user
Identity & Access Management,Users,Leave Team,Leave a team,,,,,,,
Identity & Access Management,Users,View All Kubernetes Clusters,View all configured Kubernetes clusters,,,,,,,
Identity & Access Management,Teams,View Team,See only teams to which you are a member. See all other members within those teams.,Team,,,,,,
Identity & Access Management,Teams,View Teams,See all teams of which you are an administrator. See all members of those teams.,Team,,,,,,
Identity & Access Management,Teams,View All Teams,See all teams within an organization. See all members of all teams.,Team,,,,,,
Identity & Access Management,Teams,Add User to Team,Directly create a new user account within a team.,Team,,,,,,https://docs.layer5.io/cloud/identity/teams/
Identity & Access Management,Teams,Invite User to Team,Send a request for a user to join a team.,Team,,,,,,
Identity & Access Management,Teams,Remove User from Team,Discontinue user membership of a team and team resources.,Team,,,,,,
Identity & Access Management,Teams,Create Team,Establish new team for organizing groups of users and resource access.,Team,,,,,,
Identity & Access Management,Teams,Delete Team,Dissolve a team and all user memberships. Leave associated resources intact.,Team,,,,,,
Identity & Access Management,Teams,Edit Team,Edit a team and add new members to it. ,Team,,,,,,
Identity & Access Management,Teams,Remove Roles from Team members,Remove roles from users in a team.,Team,,,,,,
Identity & Access Management,Teams,Assign Roles to Team members,Assign roles to users in a team,Team,,,,,,
Identity & Access Management,Teams,Open Team Invite,"This governs the team's invitation permissions, determining whether the team is allowed to extend invitations to new individuals to join through open invite link.",Team,,,,,,
Identity & Access Management,Organizations,Create Organization,"Establish new organization for organizing teams, users, and resource access.",Enterprise,,,,,,https://docs.layer5.io/cloud/identity/organizations/
Identity & Access Management,Organizations,Edit Organization,Edit organiaztions and add teams to it,Enterprise,,,,,,
Identity & Access Management,Organizations,Add User to Organization,Directly create a new user account within an organization.,Enterprise,,,,,,
Identity & Access Management,Organizations,Invite User to Organization,Send a request for a user to join an organization.,Enterprise,,,,,,
Identity & Access Management,Organizations,Remove User from Organization,"Discontinue user access to organization, teams and resources; cease billing accrual.",Enterprise,,,,,,
Identity & Access Management,Organizations,Promote or Demote User to Org Admin,Elevate or remove organization level administrative privileges.,Enterprise,,,,,,
Identity & Access Management,Organizations,View Org,See only organizations to which you are a member. See all other members within your membership teams.,Enterprise,,,,,,
Identity & Access Management,Organizations,View Organizations,See all organizations of which you are an administrator. See all members of those organizations.,Enterprise,,,,,,
Identity & Access Management,Organizations,View All Organizations,"See all organizations within a Layer5 Cloud deployment. See all organizations, teams, and users.",Enterprise,,,,,,
Identity & Access Management,Organizations,Remove Roles from Organization members,Remove roles from users in an organization,Enterprise,,,,,,
Identity & Access Management,Organizations,Assign Roles to Organization members,Assign roles to users in an organization,Enterprise,,,,,,
Identity & Access Management,Organizations,Transfer Organization Ownership,Transfer organization ownership to another member of the organization.	,Enterprise,,,,,,
Identity & Access Management,Organizations,Delete Organization,Decommission organization and suspend account from additional accruals.,Enterprise,,,,,,
Identity & Access Management,Organizations,Leave Organization,Leave an organization,Free,,,,,,
Identity & Access Management,Roles,Roles,,Team,,,,,,
Identity & Access Management,Roles,Assign User Roles,,Team,,,,,,
Identity & Access Management,Roles,Assign Keychains to Roles,,Team,,,,,,
Identity & Access Management,Roles,Create Custom Roles,,Enterprise,,,,,,
Identity & Access Management,Roles,Update Custom Roles,,Enterprise,,,,,,
Identity & Access Management,Roles,Delete Custom Roles,Delete a user's role permanently,Enterprise,,,,,,
Identity & Access Management,Roles,Export Custom Roles,,Enterprise,,,,,,
Identity & Access Management,Access Requests,View All Access Requests,,Enterprise,,,,,,
Identity & Access Management,Access Requests,Accept Access Request,Accept Access Request,Enterprise,,,,,,
Identity & Access Management,Access Requests,Deny Access Request,,Enterprise,,,,,,
Identity & Access Management,Keychains,User View,Default keychain for individual users,Free,,,,,,
Identity & Access Management,Keychains,User Management,Default keychain for management of users and their roles.,Free,,,,,,
Identity & Access Management,Keychains,Team View,Default keychain for management of teams and user membership.,Free,,,,,,
Identity & Access Management,Keychains,Team Management,Default keychain for management of teams and user membership.,Free,,,,,,
Identity & Access Management,Keychains,Organization Management,"Default keychain for management of orgs, teams, and their users.",Free,,,,,,
Identity & Access Management,Keychains,Event Management,"Default keychain for event management (stats, audit, summary)",Free,,,,,,
Identity & Access Management,Keychains,Security Management,"Default keychain for security management (keys, keychains, credentials, tokens)",Free,,,,,,
Identity & Access Management,Keys,View Keys,,Free,,,,,,
Identity & Access Management,Keys,View All Keys,,Enterprise,,,,,,
Identity & Access Management,Keys,Assign Keys to Keychain,,Enterprise,,,,,,
Identity & Access Management,Keys,View Key Usage,Audit history of when a key is used and who used the key.,Enterprise,,,,,,
Lifecycle Management,Dry-run,Dry-run,Test and verify configuration changes in a separate environment.,TeamOperator,,,x,x,x,
Lifecycle Management,Configure and deploy any service mesh,"Meshery adapters provision, configure, and manage 10 different service meshes.","Istio, Linkerd, Consul, Kuma, Traefik Mesh, AWS App Mesh, NGINX Service Mesh, Network Service Mesh, Cilium Service Mesh, VMware Tanzu Service Mesh",Free,,,,,,
Lifecycle Management,Operations,"Provisioning, Deprovisioning",,Free,,,,,,
Lifecycle Management,Operations,Simple Configuration,MeshOpsv1,Free,,,,,,
Lifecycle Management,Operations,Advanced Configuration,MeshOpsv2,Free,,,,,,
Lifecycle Management,Operations,Managed Upgrades,,Enterprise,,,,,,
Lifecycle Management,Sidecar,Ad-hoc: add or remove,,Free,,,,,,
Lifecycle Management,Sidecar,Parse logs,,Free,,,,,,
Lifecycle Management,Sidecar,Exec Shell,,Free,,,,,,
Lifecycle Management,Filter,Dynamic load / unload,,Free,,,,,,
Lifecycle Management,Cluster discovery,Cluster discovery,"Day 2 support for ongoing synchronization of Kubernetes configuration, workloads and service mesh changes.",TeamOperator,,,x,x,,
Lifecycle Management,Multiple Kubernetes Clusters,Multiple Kubernetes Clusters,"Ongoing synchronization of Kubernetes configuration, workloads and service mesh changes across any number of Kubernetes clusters.",TeamOperator,,,x,x,x,
Lifecycle Management,Mesh Federation,Environments,,TeamOperator,,,x,x,,
Lifecycle Management,Service Catalog Federation,Announcement and synchronization,,Team,,,,,,
Lifecycle Management,Service Catalog Federation,Organizational permissioning,,Team,,,,,,
Lifecycle Management,Connections,Add cluster,Add Kubernetes cluster,Free,,,,,,
Lifecycle Management,Connections,Change connection state,Change connection state,Free,,,,,,
Lifecycle Management,Connections,Flush Meshsync data,Clearing the database by clicking on the `Flush MeshSync`,Free,,,,,,
Lifecycle Management,Connections,Register discovered Meshsync resource,Register discovered Meshsync resource to change state to connection,Free,,,,,,
Lifecycle Management,Connections,Delete a connection,Delete a connection,Free,,,,,,
Meshery System,Build & Release,Streamlined CI,,Free,,,,,,
Meshery System,Build & Release,Integration tests,,Free,,,,,,
Meshery System,Build & Release,Release channels: stable and edge,,Free,,,,,,
Meshery System,Configuration Wizard,Time to value; easy setup of Meshery,,Open,,,,,,
Meshery System,Platform Support,mesheryctl,"Windows, Linux, MacOS",Open,,,,,,
Meshery System,Platform Support,Meshery Server,"Minikube, Docker, OpenShift",Free,,,,,,
Meshery System,Platform Support,Meshery Server,"EKS, GKE, AKS, OKE",Free,,,,,,
Meshery System,Service Mesh Discovery,MeshSync,,Free,,,,,,
Meshery System,Package managers,"script, homebrew, scoop",,Free,,,,,,
Meshery System,Error Reporting,Facilitate collection of debug for ease of issue reporting.,,Free,,,,,,
Meshery System,Kubernetes and VMs,,,Free,,,,,,
Meshery System,Architecture / Deployment Model,,,Free,,,,,,
Meshery System,Performance / Scale,,,Free,,,,,,
Meshery System,Upgrades,Each component,,Free,,,,,,
Meshery System,mesheryctl,CLI,"Seamlessly manage your configurations, deployments, and interactions through our intuitive and powerful command-line interface: mesheryctl",Free,x,x,x,x,x,https://docs.meshery.io/reference/mesheryctl
Meshery System,Deployment Model,Database Driver,Support for Postgresql,Free,,,,,,
Meshery System,Models,Policy,Policy Evaluation Mechanism,Free,,,,,,
Meshery System,Models,Policy,"Classification of Policy Evaluation into client-side, server-side, and cluster-side moments of evaluation and their distinctions.",Free,,,,,,
Meshery System,Models,Model Import/Export,Import of Model package as OCI image,Free,,,,,,
Meshery System,Models,Dynamic Registration,Server: Support for real-time configuration of multi-cluster Meshery Operation as initiated by hosts registering new models.,Free,,,,,,
Meshery System,Models,Models,MeshSync: Configurable and Tiered Discovery,Free,,,,,,
Meshery System,Models,MeshSync,Support for runtime registration of new fingerprints.,Free,,,,,,
Meshery System,Models,MeshSync,Support for composite fingerprints where keys span multiple entities (or not just the entity being discovered).,Free,,,,,,
Meshery System,Observability,Telemetry,Server/UI: Multiple Telemetry Providers and Custom Boards,Free,,,,,,
Meshery System,Observability,Telemetry,Server/UI: User-defined Dashboards and Metrics,Free,,,,,,
Meshery System,Models,Static Generation,Artifact Hub as a Registrant,Free,,,,,,
Meshery System,Models,Static Generation,OperatorHub as a Registrant. Support for OLM format.,Free,,,,,,
Lifecycle Management,Connections,Registration,Registation of connections and credentials,Free,,,,,,
Meshery System,Models,Models/Components,Connecting to Flux as Connection,Free,,,,,,
Meshery System,Settings,View Settings,View settings in Meshery,Free,x,,,,,
Meshery System,Settings,Connect adapter,Configure and connect to Meshery adapters,Free,x,,,,,
Meshery System,Settings,Connect Metrics,Configure and connect to metrics like Grafana and Promethues,Free,x,,,,,
Meshery System,Settings,View Metrics,View already configured metrics,Free,x,,,,,https://docs.layer5.io/cloud/catalog/metrics/
Meshery System,Settings,View Registry,Explore entities within capabilities registry ,Free,x,,,,,
Meshery System,Settings,Reset Database,Reset Meshery database,Free,x,,,,,
Kanvas,Timeline (DVR),Playback service transactions. Scrub over the history of changes to your deployments. ,,Enterprise,,,,,,
Kanvas,Visualizer,Representation of infrastructure configuration and services,,Free,,,,,,
Kanvas,Service Performance,Service Performance,Continuous visibility across all of your clusters and workloads.,Free,x,x,,,x,
Kanvas,Environments,Operational control of infrastructure and applications by group.,Deploy to single Kubernetes target,Free,,,,,,
Kanvas,Environments,Operational control of infrastructure and applications by group.,Deploy to multiple Kubernetes targets,Free,,,,,,
Kanvas,Design Patterns,Drag-n-drop pattern (merge with existing nodes on canvas),"Like a Google Doc, Designs are a user's primary tool for collaborative authorship of their infrastructure and services. A Design describes all the resources and their properties that users wants for a single deployment based on Meshery’s declarative syntax. This permission grants the user the ability to drag and drop a design onto the canvas to merge with exisitng nodes on canvas.",Free,,x,,x,,
Kanvas,Design Patterns,Load design pattern (displace current nodes on canvas),"Like a Google Doc, Designs are a user's primary tool for collaborative authorship of their infrastructure and services. A Design describes all the resources and their properties that users wants for a single deployment based on Meshery’s declarative syntax. This permission grants the user the ability to drag and drop a design onto the canvas to displace the exisitng nodes on canvas.",Free,,x,,x,,
Kanvas,Design Patterns,Edit Component confuguration (RJSF Tooltips),"In Meshery, a Component is a fundamental building block used to represent and define the infrastructure under management. Each component provides granular and specific support for your infrastructure and applications. This permission grants the user the ability to configure a component currently present on canvas.",Free,,x,,x,,
Kanvas,Design Patterns,Configure fieldrefs,,Free,,x,,x,,
Kanvas,Components,Delete components,"In Meshery, a Component is a fundamental building block used to represent and define the infrastructure under management. Each component provides granular and specific support for your infrastructure and applications. This permission grants the user the ability to delete a component from canvas.",Free,,x,,x,,
Kanvas,Components,Clone components,"In Meshery, a Component is a fundamental building block used to represent and define the infrastructure under management. Each component provides granular and specific support for your infrastructure and applications. This permission grants the user the ability to clone a component, along with it's configuration, on canvas.",Free,,x,,x,,
Kanvas,Components,Copy components,"In Meshery, a Component is a fundamental building block used to represent and define the infrastructure under management. Each component provides granular and specific support for your infrastructure and applications. This permission grants the user the ability to clone a component, along with it's configuration, on canvas.",Free,,x,,x,,
Kanvas,Components,Lock components,"In Meshery, a Component is a fundamental building block used to represent and define the infrastructure under management. Each component provides granular and specific support for your infrastructure and applications. This permission grants the user the ability to lock a component's state present on canvas.",,,x,,x,,
Kanvas,Components,Add components,"In Meshery, a Component is a fundamental building block used to represent and define the infrastructure under management. Each component provides granular and specific support for your infrastructure and applications. This permission grants the user the ability to copy a component present on canvas. The canvas is where the design and all it's components are displayed and configured. This permission grants the user the ability to cofigure/edit/update a design by adding new components to the canvas.",,,x,,x,,
Kanvas,Components,Configure component styles,"In Meshery, a Component is a fundamental building block used to represent and define the infrastructure under management. Each component provides granular and specific support for your infrastructure and applications. This permission grants the user the ability to configure the style of a component.",,,x,,x,,
Kanvas,Components,Reset component styles,"In Meshery, a Component is a fundamental building block used to represent and define the infrastructure under management. Each component provides granular and specific support for your infrastructure and applications. This permission grants the user the ability to reset a component to it's initial style.",,,x,,x,,
Kanvas,Shapes,Delete shapes,"Draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to delete a shape from canvas.",,,x,,x,,
Kanvas,Shapes,Delete shapes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to delete a shape from canvas.",Free,,x,,x,,
Kanvas,Shapes,Clone shapes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to clone a shape  on canvas.",Free,,x,,x,,
Kanvas,Shapes,Copy shapes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to clone a shape on canvas.",Free,,x,,x,,
Kanvas,Shapes,Lock shapes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to lock a shape on canvas.",,,x,,x,,
Kanvas,Shapes,Add shapes,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to add new shapes on canvas.",,,x,,x,,
Kanvas,Shapes,Configure shape styles,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to configure the styles of shapes present on canvas.",,,x,,x,,
Kanvas,Shapes,Reset shape styles,"Kanvas Designer allows users to draw shapes, lines, text, add custom styles, images and icons to represent the components and relationships of Kubernetes clusters as they see fit. This permission grants the user the ability to reset the styles of shapes present on canvas.",,,x,,x,,
